1,24,1,20
2,53,0,14
3,23,1,21
4,24,1,20
5,33,0,14
6,42,1,7
7,57,1,1
8,36,1,1
9,29,1,19
10,53,1,10
11,39,0,14
12,28,0,14
13,47,1,4
14,45,1,18
15,49,0,4
16,21,1,6
17,30,1,15
18,35,0,14
19,40,1,11
20,42,0,9
21,26,1,21
22,25,1,21
23,30,0,2
24,21,0,2
25,39,1,5
26,49,1,5
27,40,0,11
28,32,1,21
29,41,1,15
30,7,1,19
31,24,1,2
32,28,0,19
33,23,1,19
34,38,0,1
35,20,0,9
36,19,0,19
37,23,1,19
38,28,0,14
39,41,1,6
40,38,1,18
41,33,1,5
42,30,1,1
43,29,0,11
44,26,1,20
45,29,1,15
46,27,0,12
47,53,1,12
48,45,1,1
49,23,0,19
50,21,1,21
51,28,1,4
52,18,0,19
53,26,1,15
54,22,1,7
55,37,1,15
56,25,1,11
57,16,1,13
58,27,1,15
59,49,1,4
60,50,1,8
61,36,1,5
62,27,0,1
63,31,1,12
64,32,1,4
65,51,0,4
66,23,1,19
67,17,1,19
68,19,1,19
69,24,1,5
70,27,1,5
71,39,1,18
72,48,0,1
73,24,1,19
74,39,1,18
75,24,1,6
76,20,1,19
77,30,1,20
78,26,1,1
79,39,0,1
80,34,0,1
81,21,1,19
82,50,1,15
83,40,1,14
84,32,1,7
85,51,1,4
86,26,1,1
87,47,1,1
88,49,0,11
89,43,0,1
90,60,1,4
91,55,1,12
92,32,1,6
93,48,1,7
94,26,1,19
95,31,1,1
96,25,0,2
97,43,1,2
98,49,0,7
99,20,1,19
100,36,1,7
101,15,1,19
102,38,1,15
103,26,1,19
104,27,1,19
105,24,1,5
106,61,1,16
107,39,1,18
108,44,1,4
109,29,1,14
110,19,1,19
111,57,1,5
112,30,1,17
113,47,1,7
114,27,1,15
115,31,1,5
116,40,1,8
117,20,1,19
118,21,1,1
119,32,1,15
120,47,0,14
121,54,1,11
122,32,0,21
123,48,0,2
124,34,1,19
125,30,1,10
126,28,0,10
127,33,1,13
128,24,0,12
129,36,0,12
130,20,1,13
131,59,0,1
132,24,1,14
133,53,1,5
134,31,1,15
135,23,1,19
136,51,1,14
137,50,1,4
138,46,1,3
139,20,1,19
140,30,0,19
141,49,1,15
142,13,1,14
143,42,1,20
144,53,1,15
145,31,1,6
146,45,1,2
147,40,0,11
148,33,1,5
149,35,0,12
150,20,0,2
151,38,0,1
152,33,0,4
153,25,1,19
154,25,1,19
155,32,0,14
156,25,1,4
157,57,1,5
158,50,1,4
159,23,0,19
160,27,1,15
161,50,1,10
162,25,1,2
163,49,1,1
164,47,1,8
165,20,0,14
166,47,1,4
167,37,1,14
168,48,1,14
169,52,0,14
170,53,0,8
171,48,0,4
172,55,1,12
173,56,1,14
174,30,0,1
175,26,0,18
176,28,1,18
177,20,1,15
178,26,1,14
179,15,1,6
180,22,0,1
181,26,1,7
182,36,1,15
183,33,1,18
184,37,1,11
185,53,0,11
186,39,0,7
187,26,1,4
188,42,1,19
189,32,1,2
190,30,1,1
191,33,1,1
192,42,1,4
193,29,1,19
194,38,1,1
195,42,1,18
196,49,1,21
197,55,1,20
198,21,0,19
199,30,1,21
200,40,1,15
201,27,1,21
202,41,0,4
203,25,0,19
204,52,0,11
205,47,1,10
206,14,0,19
207,39,1,12
208,43,1,5
209,33,0,4
210,39,1,5
211,66,1,17
212,49,0,4
213,33,1,7
214,26,0,11
215,35,1,15
216,22,1,5
217,22,1,14
218,37,1,1
219,32,1,15
220,30,1,11
221,19,1,19
222,29,1,15
223,19,0,19
224,31,0,4
225,51,0,1
226,28,1,19
227,46,1,7
228,21,0,19
229,29,0,11
230,28,0,19
231,48,1,11
232,45,1,18
233,38,1,5
234,60,1,16
235,37,1,4
236,44,0,21
237,49,1,1
238,42,0,1
239,39,1,2
240,23,0,4
241,26,0,19
242,33,1,4
243,33,1,4
244,28,1,20
245,22,1,19
246,19,1,19
247,28,1,5
248,25,1,19
249,25,1,19
250,29,1,7
251,28,1,3
252,42,1,5
253,26,0,11
254,44,1,4
255,23,1,6
256,35,0,13
257,17,1,19
258,19,0,19
259,21,1,19
260,40,0,2
261,28,1,1
262,19,0,19
263,41,1,15
264,36,0,21
265,26,1,7
266,62,0,1
267,23,1,5
268,24,1,5
269,31,0,11
270,18,0,19
271,51,1,5
272,33,1,18
273,50,0,14
274,20,0,19
275,38,1,5
276,21,1,19
277,35,0,1
278,37,0,11
279,33,1,15
280,30,0,11
281,15,0,19
282,22,1,1
283,28,1,15
